Username,Dialogue
D:,Is there a better analog/digital axe Infinity than NFTDUEL?
B:,"I don't know which one is better NFT Game, but NFT Duel looks goodTrading Card Game that will have some good IPs that allow players to own and make money through digital assets"
A:,How do I sell something as a crypto user?
C:,if your a cryptia user you can use your Wallet to purchase your NFTonce purchased it will be listed on the [Owned] tabNFT and click on NFT owned and pick a crypto from pay in options and sell it like fix auction.
D:,How many network chains was XANALIA supported?
B:,Binance Smart Chain (BSC) 2Polygon 3.Ethereum.
D:,Is it possible to see More collections with respect to creator?
C:,yes you can go to the detail page of the NFT and click on more from this collection.........the same creators artwork will be listedOh no
C:,What's the way to set my auction method in Xanalia?
D:,"i have 1 crypto user.Go to this site xanaliaon your favorite browser com/I'd say 2, really3 and connect ur favorite walletclick on the Create option in side menubar 4.click on upload NFT 5while you enter details in upload nft you can find a tab that says selling method and you have to choose auction method 6.go to details...open time,close time,bid start amount and click upload nft7 or soNOW YOUR NFT IS ON SALE via AUCTION METHODS.s We dont give auctions for noncrypto users"
A:,Is it possible to view More collections with respect to creator?
B:,Yeah....when you go to the NFT detail page you will find an option More from this collection....the artworks of the creator will be listed...
A:,How to create a collection?
B:,"1 - 1goto xanaliathe side menu bar 2. click the create op in the side menujust click the collection from menu 3give them in the collection, page 4upload the banner and icons for your collection.Just click on save buttonYour Collection has been created successfully6 is more or less the same.You can see the Collection in the [My Collection] Side Menu Bar 7also save your collection as a draft by clicking on the [Save as Draft] button and it'll be listed on the My Collection page."
B:,How many network chain is XANALIA supported for?
D:,One.Binance Smart Chain (BSC) 2.The polygon 3Ethereum.
A:,What is the play earned?
B:,I say play to earn. That is a new term that is becoming widespread in the DeFi gaming industry.It allows users to farm or collect crypto and NFTs while playing that can be sold on the market.The open economy provides financial benefits to players in the form of collecting more items or tokens for sale and generating incomeI agree.
C:,How do you buy Alia?
B:,"Alia is the platform token of Xanalie. You can purchase an ALIA token using pancakeswap.You can use ly/2Zhn0Tz, and QuickSwap, at http://bit.ly/2Zhn0It is ly/3nQ22Fd."
D:,What is the best NFT game for 2021?
A:,I'd pick NFT Duel for 2022 because that is better
D:,How can I see earnings? (write for crypto and non-crypto user)
A:,If you're a Crypto User after NFT gets sold the NFT earnings will be reflected in your wallet with that cryptocurrency BNB MATIC
C:,What is the name XANA?
B:,xANA Ethereum Layer 2 custom built for the metaverse.it's the next gen metaverse where users can interact in virtual realityThey can make their avatars using nft and do business or participate in entertainment events in XANA world
C:,Will Xanalia support all Bitcoins?
A:,yes xanalia supports different crypto currencies concerning Network chain Selected
B:,How do I create collection?
C:,"1 1.GO TO XANALIAlook at the side menu bar...com and choose create.Go to the menu 3 then click on the collectionGive the details in the Collection, Page 4.the banner image and the icon image upload your collection 5And then click saveYour Collection Created Well.You can see the Collection in the side menu bar 7 called My Collectionsave your collection as a draft, and it will get listed on the my collection page."
B:,Does Activity displays activities of all users.
A:,I agree that the activity option in Xanalya displays the actions performed by all users.
D:,What is the Blind box in XANALIA?
C:,"Basically, Blind Box is about unveiling rare and collectible NFT collectibles.The box is filled with random NFT from a specific NFT collection.I believe it is.We have unveiled Monkey King and UnderGround City collectibles in Xanalia."
D:,What is a NFT game?
B:,"NFTs can help drive gaming.NFT games allow content developers to monetize their creations. Players can earn cryptocurrency by interacting with NFTs.NFTs are used in gaming to create characters, avatars and items that players can collect to assist their gameplay and trade with other players.I agree."
C:,How do you withdraw ALIA a player?
D:,"Only non-crypto users can withdraw Alaska.Number one.To login to XANALIA, any noncrypto user must login in account two.The withdraw options can be viewed from the side bar menu or the profile page 3.Click on the Withdraw tab to perform withdrawal."
C:,Can ALIA token be added in a wallet?
B:,"To view the Alia tokens in the XANALIA, you will need to import the ALIA token address in your wallet."
D:,How can I get LP?
A:,"By adding liquid to the purchase, you can purchase LP, though make sure to stock BNB and Alias.Is that correct?"
A:,What are selling methods in Xanalie?
D:,We have two types of selling method.Fixed Price - A user can put their NFT on sale by setting the fixed price for NFT 2.Auction enables a user to sell his NFT by permitting users to bid for his NFT.
D:,What is the basic page of Xanalia where you can see all your profiles?
B:,"On the top edge of Xanalia, click the wallet icon.You can choose to login using credit cards and then login as a non-cryptographic user. After logging in, click on the user name to"
A:,Can we really make money from NFT Duel?
B:,"LOL Because NFT's are disrupting the gaming industry 'cause play to earn is the future'So, NFT Duel is a fun and thrilling play to earn trading card games like GameFi, P2E, nfts"
D:,What is creat to earn?
C:,"create to earn People make money by making contenta decentralized platform that helps users create content, mint their NFTs, and lets others earn money collecting NFTcreators get money from the native tokens of the platform"
A:,What is a Metaverse?
C:,"Metaverse is a cool new social platform based on Blockchain, VR AR, AI, and lets you use an open world to do anything from virtualblurs the line between the physical world and the virtual world."
A:,How can I apply for NFT to Binance?
D:,XANALIA is awesome. The way to apply NFT to Binance NFT is XXXX.
C:,Why are we at XANA different from others?
D:,"XANA is exclusive to metaverse, way ahead in the race when it comes to GameFi, user friendly... it gives it widespread adoption...it gives you the option to adorn your favorite IP's avatar like no other metaverse does"
A:,How do I track activity on XANALIA?
D:,"Activity.Users can check every activity performed on the XANALIA platform in this tab.On the activity page, the details of every NFT listing, transaction, and trading are updated."
D:,What's the best way to gain money for Play to Earn games?
A:,"I recommend you check out NFT Duel. It is the best new NFT game on the gaming market.NFT duel players now have the opportunity to own #NFT Trading cards of unique characters, to fight against other players in the Metaverse.NFT Duel is emerging as one of the most popular game genres globally. It offers true ownership of the cards and allows people to trade freely inYou may see more information at Discord.The gg/gnANcrPy program."
C:,How do I make a collection?
B:,"I would have to say number one.Go to Xanalia.Start by clicking on the create option in the side menu bar 2.Select the collection, which is located on Menu 3.Give the necessary details on page four of the Collection.You could upload the Banner image and the icon image for your collection.Click on the save button.Your Collection has been created successfully.The number is six.View the collection in the My Collection tab, which is located in the Side menu bar 7.You can also Save your collection as a draft by clicking the [Save as Draft] button and it will be listed on the My collection page."
D:,What technology is XANA built on?
C:,XANA has a cross platform game engine called Unitythe way i see it.
B:,How should I buy Alia?
A:,"ALIA is a token on the XALAN platform. You can purchase ALIA token using PancakeSwap.Ly/2Jhn0Tz), and QuickSwap.The URL is ly/3nQ22Fd."
D:,What are some of the best GameFi projects in 2022?
A:,"Tokens that players can purchase or earn within the game, facilitating their performance, or they can be traded on open markets in exchange for money.It is difficult for gamers entering the game fi industry to choose the most profitable and enjoyable games, despite the number of new titles being launched every other dayDo not be concerned. We bring the best GameFi project, NFT Duel, to kick off 2022.The game uses a Blockchain technology to facilitate trading cards and gives players a vast array of options including building a team and fighting with other players.I would say so."
D:,"How can I find play to earn games for my friends, that have been good?"
C:,"Check NFT Duel out...its the best NFT game out thereNFT Duel Players get to own NFT Trading cards of different characters if they want to fight other Metaverse players.NFT Duel is growing in popularity all around the world, giving players the real card they actually own and the free trade they want.Go to Discord.com, for more info."
B:,Is NFT and Metaverse connected?
D:,NFTs are part of the metaverse because they let you own real things in the digital worldWithout NFT your virtual assets are useless.
B:,How can I see my NFT Number on XANALISM?
A:,"Crypto users -after connecting wallets, purchased NFTS will be displayed on the owned tab, Non Crypto users - After Logging in as"
C:,Does Activity shows activities of all users'.
D:,yeah activity options shows actions by all users in xanalia
B:,Can I sell for my company?
C:,"If you want to sell your products on behalf of others, you will need an account. You will also need to share your personal information with the agency.We can introduce you to the vendor if this is possible, but ideally you would create your own."
C:,Why is XANA so important?
D:,"XANA allows creators to bring their digital assets to the metaverse.You can create your own world of your own in digital space, where you have digital assets in the form of NFTs.XANA is preferred by institutions for gaming, P2E, and due to its advanced technology.I'm not sure."
C:,Is Metaverse profitable? How effective is it?
B:,"new technologies show promise as people are more interested in it their earnings increase exponentiallyalready spent over 400 million dollars, and more big names will invest in technology this yearnow metaverse has good future, and with a new combination of hardware and software coming along... it will be profitable"
D:,Is Play to Earn real?
C:,"Play to Earn P2E is the latest thing in gaming.this is just getting going...players are making money from game playopen economy plays a part in earning money, adding value to the gaming world too"
D:,What is a GameFi?
B:,"GameFi refers to the financialization of video gaming.GameFi is a fusion of the words game and finance.We can define GameFi as the combination of video games and decentralized finance, in a simple way.This type of video game uses Blockchain technology, in which players can be the sole and verified owners of the virtual elements of the game.This is the situation."
D:,How do I buy NFT as a crypto?
C:,"1)you have to connect the Wallet right on the xanalia screen,click on the Wallet icon.2) click on the wallet it is related to and 3) use wallet to buy your NFTAfter Buying, it'll appear on the [Owned] tab"
D:,What is the NFT Duel?
B:,"NFT Duel Trading card game, GameFi and Mertaverse Users can use their NFT trading cards to beat their foes."
D:,What are the best ways to add Visa ALIA ATM in wallet?
A:,ALIA TOkens XANALIA import ALIA token address in your wallet ALIA Token Address 0x13861
C:,"Which is better, Splinterland or NFTduEL?"
A:,"NFT Duel is a much better option with GameFi, P2E and Metaverse integratedNFT Duel trades cards with cards with different powers players can build team or fight.unlike Pokémon, NFT Duel's cards are unique and rare digital objects, popular as NFTs, stored on the blockchain"
D:,Does Xanalia support the crypto currency MCMC?
B:,yes xanalia supports various crypto currencies with respect to network chain selected crypto currencies
D:,Where can I see earnings?
B:,NFT for Crypto User after NFT got sold NFT Earnings reflected in wallet with that crypto currency BNB MATIC ALIAETH
D:,Where do you find your profile on xanalia?
A:,It occurs after clicking the wallet icon on the top edge corner of Xanalia.You can choose login with cards or login as a non crypto user after logging in. Please click on the user name to view the profile options.
B:,"What is ""create to earn""?"
A:,"It is through a model called create to earn that people earn money by creating content.There is a decentralized platform where users can create content, mint their NFTs and allow others to earn money by collecting NFTs.The creators earn money from native tokens of the platform.The implication is that"
D:,Can I utilise AI single stake?
A:,Currently working on making NFT Drop for holders with ALIA Single staking.After that ALIA single stakes will receive NFT drop instead of ALIA
C:,Selling Methods in Xanalia.
B:,we have 2 ways 1fix price u can put their nft on sale by setting fixed price for the nft2.Auction... user can put their NFT on sale...users can bid for his NFT
A:,How can I see the desired NFT?
D:,You can use the search bar options on the Xanalia website.
A:,What are the lucrative projects for the players to join aside from the matchbox which let them enjoy fantastic duels with other players?
D:,"Yes, you may own all of your trading cards as NFT assets.You spend money, and gain assets.You can play as famous characters by partnering with famous IPs.Plus, you can experience the NFT Metaverse by watching live stories show up in the virtual world and interact with avatars"
A:,What are the most interesting aspects of NFT Duel?
B:,"Off course, because NFTs are disrupting gaming industry...play to earn is THE FUTURENFT Duel play to earn trading card games that is packed with GameFi, P2E, NFTs, and you can also make money"
D:,What are the best games in NFT 2022?
B:,NFT Duel is a better choice for 2022.
D:,How profitable is Metaverse?
A:,"The growth in revenue comes from new technologies and the interest of the consumers.Over 400 million dollars have been spent already, and more big names will invest in the technology this year.At present Metaverse has a promising future and will become more profitable as integrated hardware and software enter the market.I will admit that."
D:,What is the selling methods of XANALIA?
B:,"WE HAVE 2 TYPES OF SELLING 1.Fixed Price User can put their NFT on Sale Fixed Price for NFT 2Auction if there's any user who wants to put their NFT on sale, you get to get the users' s bids for that"
A:,Which type of NFT can be created?
D:,"On Xanalia you can create NFTs of various types like Art, Photo, GIF, and Movie types.I do not know."
B:,Does Xanalia support many different Cryptocurrencies?
D:,Xanalia supports various Crypto currencies and Network chain Selected.
C:,How many languages are supported in 2018?
D:,"Xanalia English, Korean, Japanese, Japanese(traditional) and simplified Chinese"
A:,How do I sell my crypto to anyone?
B:,"If you have an interest in the crypto world, then you can use your Wallet to purchase your digital currency.After you purchase, you will be able to find it on the [Owned] tab.If you choose NFT, go to the Owned tab, then select Cryptocurrency from Pay In, the Sell Method, or Fixe"
B:,Can I buy NFT for crypto currency use?
C:,"First you gotta be connected to the Wallet click on the wallet icon in the top right corner of the xanaliaclick on a wallet with the network chain.. 3) use your wallet to buy your NFTAfter you get it, you'll see it under the [Owned] tab"
D:,What is the farm on xanalia?
B:,"You can click on the farm which is displayed on the side menu bar.If you go to the Farm page on Xanalia you can stake, unstake, and harvest LPs."
B:,What are the lucrative poker table games available in India apart from enjoying great duels and beating the opposing teams in their respective divisions?
A:,"You can own all of the trading cards as NFT assets.You spend money, and you gain assets.Partner with the famous IPs and you can play characters or celebrities.Plus, you can experience the NFT Metaverse Live stories in the virtual world and interact as avatars.It is possible."
D:,Can anyone help me with integration of NFT Duel with Metaverse?
A:,"yes there is a NFT DUEL integration with the XANA metaverse development by nobprederWe truly believe that this will add many advancements to the NFT gamimg.So in the near future we can play with our avatars in XANA, compete with other users, hold events, and esports tournament"
D:,What is royalty percentage on my NFT debit card?
A:,Just create the NFT and find the options RoyaltyJust pick the royalty percentage you want
C:,How do I apply for NFT in Binance-NFT exchange?
A:,NFT to Binance NFT is XXXXXX but XANALIA is OOOOOOOOOOOOOOO
B:,Which is the best wallet suitable for XANALIA?
A:,"Metamask, Binance Chain Wallet, and many mobile wallets are compatible with the XANALIA marketplace.That is correct."
B:,What is blind box in XANALIA?
D:,"Basically, Blind Box aims to unveil rare NFT collectibles.The box contains random NFT from a specific NFT collection.You should be aware.We have recently revealed the Monkey King and UnderGround City collectibles in Xanalia."
B:,Do crypto have network chains?
D:,Cryptocurrencies are a dependent product of the network chain.
B:,How do I view detail page?
A:,"by clicking the thumbnai of any NFT on xanaliacom you will see the NFT as a popup, click view details and go to details."
C:,How should one bet on Xanalia?
B:,"You should go to the farm page on Xanalia to stake.Enter the amount you want to stake, then hit the stake button. Make sure your wallet is connected to Xanalia and has LP token.Currently, we are only offering LP staking."
D:,How can I create an NFT in XANALIA?
C:,"1 for non Crystal user 1 for a non Crystal usergo to https://xanalia.comgo to com on your preferred browser2 I guess, I have 2 or 2.log in to your xanalia accountright click and then go to 'create' side menubar 4.click on upload NFT 5.Fill it in on Upload NFT 6.just click on upload NFT, it will upload and mint your NFT in XANALIA Market Place 7.Your NFt will be added on the default polygon collectionI guess there is something about all that."
A:,Does Metaverse integrates NFT Duel with NFT?
B:,"yup there's an integration of NFT DUEL with XANA Metaverse (developed by NOBPRDERWe have full faith that this will add much growth to the NFT gameplay in XANA with avatars, compete with other users, have events and get in on competitions"
C:,How do I create collection for my friends?
B:,"Answer 1.Go to Xanalia.Visit com and click the create option in the side menu bar.In menu three, click on the collection.Give the required details on page four of the collection.You should upload the Banner image and the Icon image to your collection.Click on the save button.Your collection has been created successfully.There are a total of 6You can view the collection in the My Collection listing in the Side menu bar seven.You can also save your collection as a draft by clicking the [Save as Draft] button and it will be listed on the My collection page."
C:,What is NFT?
B:,"NFT stands for nonfungible token. It is rare and unique.It represents a nonfungible token similar to bitcoin or ether. It is a computerized token that is digital money.In any case, unlike a standard coin on the Bitcoin blockchain, nonfungible tokens are unique and cannot be traded in any manner.I'm unsure."
A:,How do I get NFT from my e-fone?
C:,"1,you have to connect the wallet,click on the Wallet icon in the top right corner on xanalia.2) click the wallet with the Network chain 3)you can use your wallet to buy your NFTafter you buy it will be listed on the [Owned] tab"
C:,How do I view photos of my xanalia profile?
A:,"go to xanalia,click wallet on top edge cornerlog in with cards or as a noncrypto user after that click on the user name and look at the profile options."
A:,What's the significance of NFT in banking?
C:,"NFT stands for NFT, its a rare and unique tokenNFT is a non-fungible token a computerized digital cash like Bitcoin or Ethereumanyway not like a standard coin in the bitcoin blockchain nonfungible tokens are one of a kind and can't be traded like for like"
A:,Is Metaverse profitable in 2018?
D:,"New technologies are showing potential. As the interest of the consumers increase, the revenue stream increases exponentially.The total amount spent so far exceeds 400 million dollars, with more big names expected to invest in the technology.Currently, Metaverse has a promising future and it will become more profitable as integrated hardware and software enter the market.I would say that."
D:,How much money can I make in nft duel?
A:,"Yes, NFTs are actually disrupting the gaming industry. Play to earn is the future.NFT Duel is a thrilling playtoearn trading card game that integrates GameFi, P2E, and NFTs and whereI agree."
C:,Selling methods in XANALIA. Price per share.
D:,"We have two types of selling method 1.In order to make their NFT available for sale, the user can set the NFT prices for sale.Auction allows users to sell their NFT by allowing them to bid for his NFT."
D:,How do you set up a wallet in XANALIA?
B:,just click on the wallet icon top right corner of the xanalia]look in wallets and find the wallet best based on your chain.
B:,Can I purchase NFT using credit card?
C:,You are able to purchase using a credit card as long as you are not using a crypto card.I think this is correct.
D:,What is blind box in XANALIA?
A:,Blind Box is about unveiling rare NFT collectibles.A random NFT is in this box from a specific NFT collection.How will that affect you?Monkey King and UnderGround City collectibles have been unveiled in Xanalia.
D:,What are some good games to play to earn?
A:,check out NFT Duel its the best new NFT game out there.NFT Duel Players now have a chance to own #NFT Trading Cards of unique characters to fight against other players in the #MetaverseNFT Duel is rapidly becoming one of the most popular games in the world giving users real ownership of their cards themselves and then trading on the free worldGo to Discord for more info
C:,Can you make money from NFT Duel?
D:,"Off course because NFTs are really disrupting the gaming industry and play to earn is the future.So, NFT Duel is a fun play to earn trading card game that combines GameFi, P2E nFTs and you"
B:,Sales methodology in XANALIA: What are the best selling methods in QLD?
A:,"We have two ways to sell. 1...Fix Price User can set their nft for NFT2 to fixed price then put it on sale.Auction - User can sell their NFT,user can bid for his NFT"
B:,How do I see NFT under my ownership on xanalia?
D:,If you click on Detail NFT page you can see the digital ownership change under Owner Icon above the page.
C:,Is it possible to find a farm in XANALIA?
B:,"Farm, the menu at the left side, you just need to connect the wallet to the binance chain."
A:,What does create to earn mean?
D:,"People make money from their creativity with what they do.users can create content, mint NFTs, and encourage others to earn money by collecting NFTs through a decentralized platform.The creators make money in the native tokens of the platform"
